row,region,site_code,year,yyyy-mm-dd,transect_ht,field_team,quad_m,photo_code,latitude,longitude,quad_rel_m,bench,bench_rel_m,bench_est_m,quad_est_m,ANTHO,BarnAc,BarnGo,MYCA,InvSes,InvMob,AlgGre,AlgBro,CrustUn,CrustCal,MASTO,ENMU,ArtCor,AlgRed,PHSC,Rock,Shell,Cobb,Sand,Tar,total,notes
1,CA,HM1,2022,3/30/22,0.5m,AMA,0,R4B4P5,NA,NA,2.24,ns16_brass,1.78,1.042,0.582,0,0,0,2,0,0,0,0,6,0,2,0,0,0,0,1,0,0,5,0,16,
2,CA,HM1,2022,3/30/22,0.5m,AMA,2,R4B5P2,NA,NA,2.12,ns16_brass,1.78,1.042,0.702,0,0,0,0,0,0,0,0,7,0,5,1,0,0,0,3,0,0,0,0,16,
3,CA,HM1,2022,3/30/22,0.5m,CAN,4,G1B6W1,NA,NA,2.35,ns16_brass,1.78,1.042,0.472,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,6,0,0,1,0,16,
4,CA,HM1,2022,3/30/22,0.5m,AMA,6,P4R6B2,NA,NA,2.8,ns16_brass,1.78,1.042,0.022,0,0,0,0,0,0,0,0,7,0,0,0,2,2,1,0,0,0,4,0,16,
5,CA,HM1,2022,3/30/22,0.5m,CAN,8,B3G1W1,NA,NA,2.52,ns16_brass,1.78,1.042,0.302,0,0,0,0,0,0,0,0,2,0,6,2,0,0,0,6,0,0,0,0,16,
6,CA,HM1,2022,3/30/22,0.5m,AMA,10,P2R2B6,NA,NA,2.73,ns16_brass,1.78,1.042,0.092,0,0,0,0,0,0,0,0,5,0,1,0,0,2,5,0,0,0,3,0,16,
7,CA,HM1,2022,3/30/22,0.5m,CAN,12,W2G3B5,NA,NA,2.45,ns16_brass,1.78,1.042,0.372,1,0,0,1,0,2,0,0,3,1,3,0,0,1,0,0,0,0,4,0,16,
8,CA,HM1,2022,3/30/22,0.5m,AMA,14,B1R5P2,NA,NA,2.1,ns16_brass,1.78,1.042,0.722,2,0,0,0,1,0,0,0,3,1,1,6,0,0,0,2,0,0,0,0,16,
9,CA,HM1,2022,3/30/22,0.5m,CAN,16,B1G1W1,NA,NA,2.18,ns16_brass,1.78,1.042,0.642,1,0,0,1,0,0,0,0,8,0,4,1,0,0,0,0,0,0,1,0,16,relative height interpoloated from adjacent quads
10,CA,HM1,2022,3/30/22,0.5m,AMA,18,R4R5B2,NA,NA,2.27,ns16_brass,1.78,1.042,0.552,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,5,0,0,0,0,16,
11,CA,HM1,2022,3/30/22,0.5m,CAN,20,B2W2G6,NA,NA,2.1,ns16_brass,1.78,1.042,0.722,0,0,0,1,0,0,0,0,10,0,2,3,0,0,0,0,0,0,0,0,16,
12,CA,HM1,2022,3/30/22,0.5m,AMA,22,P6B3R3,NA,NA,1.835,ns16_brass,1.78,1.042,0.987,0,0,0,0,0,0,0,0,9,0,1,5,0,0,0,1,0,0,0,0,16,
13,CA,HM1,2022,3/30/22,0.5m,CAN,24,B1W2G4,NA,NA,2.235,ns16_brass,1.78,1.042,0.587,1,0,0,2,0,1,0,0,5,0,0,2,0,0,0,4,0,0,1,0,16,
14,CA,HM1,2022,3/30/22,0.5m,AMA,26,B1R5P1,NA,NA,2.25,ns16_brass,1.78,1.042,0.572,1,0,0,0,0,1,0,0,7,0,1,3,0,0,0,0,0,0,3,0,16,
15,CA,HM1,2022,3/30/22,0.5m,CAN,28,G5W2B5,NA,NA,1.925,ns16_brass,1.78,1.042,0.897,0,0,0,0,0,1,0,0,9,0,0,5,0,0,0,1,0,0,0,0,16,
16,CA,HM1,2022,4/4/22,1.5m,CAN,2,P6R4B5,NA,NA,1.66,ns16_brass,2.24,1.042,1.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,16,
17,CA,HM1,2022,4/4/22,1.5m,MR,4,G1B3W2,NA,NA,1.54,ns16_brass,2.24,1.042,1.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,
18,CA,HM1,2022,4/4/22,1.5m,CAN,6,P5R4B1,NA,NA,1.57,ns16_brass,2.24,1.042,1.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,
19,CA,HM1,2022,4/4/22,1.5m,MR,8,W3G4B3,NA,NA,1.885,ns16_brass,2.24,1.042,1.397,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,11,0,0,0,0,16,
20,CA,HM1,2022,4/4/22,1.5m,CAN,10,B4R1P1,NA,NA,2.065,ns16_brass,2.24,1.042,1.217,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,4,0,16,
21,CA,HM1,2022,4/4/22,1.5m,MR,12,W5B4G2,NA,NA,2.365,ns16_brass,2.24,1.042,0.917,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,11,0,0,1,0,16,
22,CA,HM1,2022,4/4/22,1.5m,CAN,14,R3B6P3,NA,NA,2.17,ns16_brass,2.24,1.042,1.112,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,2,0,0,0,0,16,
23,CA,HM1,2022,4/4/22,1.5m,MR,16,G1B4W4,NA,NA,1.195,ns16_brass,2.24,1.042,2.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,
24,CA,HM1,2022,4/4/22,1.5m,CAN,18,R1B4P2,NA,NA,1.315,ns16_brass,2.24,1.042,1.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,
25,CA,HM1,2022,4/4/22,1.5m,MR,20,B2W,NA,NA,2.465,ns16_brass,2.24,1.042,0.817,0,0,0,2,0,0,0,0,3,0,2,0,0,0,0,9,0,0,0,0,16,
26,CA,HM1,2022,4/4/22,1.5m,CAN,22,B5R1P1,NA,NA,2.035,ns16_brass,2.24,1.042,1.247,0,0,0,0,0,0,0,0,4,0,5,2,0,0,0,5,0,0,0,0,16,
27,CA,HM1,2022,4/4/22,1.5m,MR,24,G4W5B5,NA,NA,1.625,ns16_brass,2.24,1.042,1.657,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,16,
28,CA,HM1,2022,4/4/22,1.5m,CAN,26,P3B1B5,NA,NA,2.153,ns16_brass,2.24,1.042,1.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,
29,CA,HM1,2022,4/4/22,1.5m,MR,28,W3B5G5,NA,NA,2.1,ns16_brass,2.24,1.042,1.182,0,2,0,0,0,0,0,0,1,0,6,1,0,0,0,6,0,0,0,0,16,
30,CA,HM1,2022,4/4/22,1.5m,CAN,30,B5P3B1,NA,NA,1.625,ns16_brass,2.24,1.042,1.657,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,13,0,0,0,0,16,
31,CA,HM1,2023,4/12/23,0.5m,SKS,2,5666,36.62147,121.90388,1.96,ns29_titan,2.28,0.513,0.83,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,6,0,0,0,0,16,
32,CA,HM1,2023,4/12/23,0.5m,SKS,4,3646,36.62146,121.90386,2.62,ns29_titan,2.28,0.513,0.17,0,0,0,1,0,0,0,0,0,0,1,0,0,7,1,2,0,0,4,0,16,
33,CA,HM1,2023,4/12/23,0.5m,SKS,6,5662,36.62143,121.90388,2.57,ns29_titan,2.28,0.513,0.22,0,0,0,0,0,0,0,0,1,0,2,1,3,3,0,6,0,0,0,0,16,
34,CA,HM1,2023,4/12/23,0.5m,SKS,8,4261,36.62143,121.903885,2.86,ns29_titan,2.28,0.513,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,
35,CA,HM1,2023,4/12/23,0.5m,SKS,10,2131,36.62142,121.90382,2.63,ns29_titan,2.28,0.513,0.16,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,11,0,0,0,0,16,
36,CA,HM1,2023,4/12/23,0.5m,SKS,12,6466,36.62141,121.90379,2.26,ns29_titan,2.28,0.513,0.53,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,5,0,0,0,0,16,
37,CA,HM1,2023,4/12/23,0.5m,SKS,14,6535,36.62141,121.90376,2.12,ns29_titan,2.28,0.513,0.67,0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,2,3,0,0,0,16,
38,CA,HM1,2023,4/12/23,0.5m,SKS,16,2615,36.62141,121.90376,2,ns29_titan,2.28,0.513,0.79,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,1,0,0,0,0,16,"Lat/Long somehow missed, copied from 14"
39,CA,HM1,2023,4/12/23,0.5m,HDCB,18,3412,36.6214,121.90375,1.9,ns29_titan,2.28,0.513,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,16,
40,CA,HM1,2023,4/12/23,0.5m,HDCB,20,2543,36.6214,121.90373,1.48,ns29_titan,2.28,0.513,1.31,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,1,0,0,0,0,16,
41,CA,HM1,2023,4/12/23,0.5m,HDCB,22,4522,36.62137,121.90369,2.18,ns29_titan,2.28,0.513,0.61,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,9,0,0,0,0,16,
42,CA,HM1,2023,4/12/23,0.5m,HDCB,24,3251,36.62134,121.90371,2.19,ns29_titan,2.28,0.513,0.6,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,7,0,0,0,0,16,
43,CA,HM1,2023,4/12/23,0.5m,HDCB,26,5433,36.62135,121.90369,2.28,ns29_titan,2.28,0.513,0.51,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,9,0,0,0,0,16,
44,CA,HM1,2023,4/12/23,0.5m,HDCB,28,1165,36.62133,121.90365,2.44,ns29_titan,2.28,0.513,0.35,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,7,4,0,0,0,16,
45,CA,HM1,2023,4/12/23,0.5m,HDCB,30,2462,36.62132,121.90364,2.43,ns29_titan,2.28,0.513,0.36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,9,0,2,0,16,
46,CA,HM1,2023,4/12/23,1.5m,HDCB,2,3522,36.62132,121.90404,1.05,ns29_titan,2.28,0.513,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,4,0,16,
47,CA,HM1,2023,4/12/23,1.5m,HDCB,4,2211,36.6213,121.90402,1.13,ns29_titan,2.28,0.513,1.66,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14,0,0,0,0,16,
48,CA,HM1,2023,4/12/23,1.5m,HDCB,6,2664,36.62133,121.90401,1.58,ns29_titan,2.28,0.513,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,16,
49,CA,HM1,2023,4/12/23,1.5m,HDCB,8,6242,36.62125,121.90394,1.76,ns29_titan,2.28,0.513,1.03,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,7,0,16,
50,CA,HM1,2023,4/12/23,1.5m,HDCB,10,5162,36.6219,121.904,1.93,ns29_titan,2.28,0.513,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,
51,CA,HM1,2023,4/12/23,1.5m,HDCB,12,1223,36.62129,121.90397,2.09,ns29_titan,2.28,0.513,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,16,
52,CA,HM1,2023,4/12/23,1.5m,HDCB,14,6464,36.62126,121.90395,2.23,ns29_titan,2.28,0.513,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,16,
53,CA,HM1,2023,4/12/23,1.5m,SKS,16,6535,36.62128,121.90392,2.31,ns29_titan,2.28,0.513,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,
54,CA,HM1,2023,4/12/23,1.5m,SKS,18,2635,36.62127,121.9039,2.22,ns29_titan,2.28,0.513,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,16,
55,CA,HM1,2023,4/12/23,1.5m,SKS,20,3364,36.62126,121.90388,1.94,ns29_titan,2.28,0.513,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,
56,CA,HM1,2023,4/12/23,1.5m,SKS,22,2231,36.62123,121.90387,1.75,ns29_titan,2.28,0.513,1.04,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,7,0,0,0,16,
57,CA,HM1,2023,4/12/23,1.5m,SKS,24,5116,36.62121,121.90385,1.84,ns29_titan,2.28,0.513,0.95,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,3,0,0,0,0,16,
58,CA,HM1,2023,4/12/23,1.5m,SKS,26,3355,36.6212,121.90385,1.93,ns29_titan,2.28,0.513,0.86,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,8,0,0,0,16,
59,CA,HM1,2023,4/12/23,1.5m,SKS,28,4312,36.62119,121.90382,1.95,ns29_titan,2.28,0.513,0.84,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,8,0,16,
60,CA,HM1,2023,4/12/23,1.5m,SKS,30,4653,36.62127,121.90381,1.49,ns29_titan,2.28,0.513,1.3,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,11,0,0,0,0,16,